,Type,Sex,Size,Intake Type,Intake Jurisdiction,PredomBreed,PredomColor,Type Sex,Type Size,Type Intake Type,Type Intake Jurisdiction,Type PredomBreed,Type PredomColor,Sex Size,Sex Intake Type,Sex Intake Jurisdiction,Sex PredomBreed,Sex PredomColor,Size Intake Type,Size Intake Jurisdiction,Size PredomBreed,Size PredomColor,Intake Type Intake Jurisdiction,Intake Type PredomBreed,Intake Type PredomColor,Intake Jurisdiction PredomBreed,Intake Jurisdiction PredomColor,PredomBreed PredomColor,Outcome Type
13790,1.0,2.0,2.0,4.0,8.0,3.0,1.0,2.0,2.0,4.0,8.0,3.0,1.0,4.0,8.0,16.0,6.0,2.0,8.0,16.0,6.0,2.0,32.0,12.0,4.0,24.0,8.0,3.0,3
13791,0.0,2.0,4.0,2.0,8.0,22.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,16.0,44.0,4.0,8.0,32.0,88.0,8.0,16.0,44.0,4.0,176.0,16.0,44.0,1
13792,1.0,1.0,2.0,4.0,12.0,38.0,15.0,1.0,2.0,4.0,12.0,38.0,15.0,2.0,4.0,12.0,38.0,15.0,8.0,24.0,76.0,30.0,48.0,152.0,60.0,456.0,180.0,570.0,2
13793,1.0,2.0,6.0,4.0,8.0,28.0,18.0,2.0,6.0,4.0,8.0,28.0,18.0,12.0,8.0,16.0,56.0,36.0,24.0,48.0,168.0,108.0,32.0,112.0,72.0,224.0,144.0,504.0,2
13794,1.0,0.0,1.0,4.0,8.0,25.0,0.0,0.0,1.0,4.0,8.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,25.0,0.0,32.0,100.0,0.0,200.0,0.0,0.0,2
13795,1.0,3.0,4.0,1.0,10.0,9.0,18.0,3.0,4.0,1.0,10.0,9.0,18.0,12.0,3.0,30.0,27.0,54.0,4.0,40.0,36.0,72.0,10.0,9.0,18.0,90.0,180.0,162.0,0
13796,1.0,1.0,4.0,4.0,10.0,37.0,2.0,1.0,4.0,4.0,10.0,37.0,2.0,4.0,4.0,10.0,37.0,2.0,16.0,40.0,148.0,8.0,40.0,148.0,8.0,370.0,20.0,74.0,2
13797,0.0,2.0,0.0,4.0,8.0,22.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,16.0,44.0,18.0,0.0,0.0,0.0,0.0,32.0,88.0,36.0,176.0,72.0,198.0,0
13798,2.0,4.0,4.0,3.0,3.0,6.0,2.0,8.0,8.0,6.0,6.0,12.0,4.0,16.0,12.0,12.0,24.0,8.0,12.0,12.0,24.0,8.0,9.0,18.0,6.0,18.0,6.0,12.0,1
13799,0.0,2.0,0.0,4.0,4.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,44.0,0.0,0.0,0.0,0.0,0.0,16.0,88.0,0.0,88.0,0.0,0.0,0
13800,1.0,3.0,4.0,2.0,8.0,38.0,2.0,3.0,4.0,2.0,8.0,38.0,2.0,12.0,6.0,24.0,114.0,6.0,8.0,32.0,152.0,8.0,16.0,76.0,4.0,304.0,16.0,76.0,3
